symbol,yf_ticker,roe,roce,debt_eq,netinc_cagr,trailing_pe,market_cap,sector,sector_pe_avg,pe_valuation_flag,s_roe,s_roce,s_debt_eq,s_netinc_cagr,s_pe_val,quality_score
SAPPHIRE,SAPPHIRE.NS,7.137962969213712,16.342200106619302,1.1780835653957666,-25.445636218824475,1128.4615,94293745664.0,Consumer Services,215.50412475,0,0.22851461703969383,0.4564758065821704,0.8681938117645709,0.0,0,0.31290240852213635
TATACHEM,TATACHEM.NS,4.992589037779131,5.800021206658891,0.6790364872672325,-45.574791749458285,72.40032,231305773056.0,Chemicals,70.86632838461539,1,0.1689507686191751,0.08904537992746477,0.9326223070838947,0.0,1,0.3128399216302029
HUDCO,HUDCO.NS,12.674972401497884,,6.15116573512855,16.43140481038383,16.24766,451788800000.0,Financial Services,39.25075387065217,1,0.3822433380310133,,0.22615378119912313,0.3095647539055164,1,0.31050901937027575
LICHSGFIN,LICHSGFIN.NS,12.491429474255474,,7.638038460184313,33.53313792195516,5.619938,309162901504.0,Financial Services,39.25075387065217,1,0.377147479012341,,0.03419399102074617,0.4579470493437837,1,0.30986275222557097
M&MFIN,M&MFIN.NS,9.47862334734403,,5.679895869740759,25.772476196939877,15.422927,385053818880.0,Financial Services,39.25075387065217,1,0.2935003698374082,,0.28699615388696675,0.3906120726273879,1,0.30922194855974505
GODREJIND,GODREJIND.NS,4.2019044667718015,4.728568445552864,3.1196467209401786,14.501962211032904,35.765766,361345712128.0,Diversified,43.95425133333333,1,0.1469983176986818,0.051701643979763456,0.617532104359591,0.29282404581819654,1,0.3082195311221234
ABCAPITAL,ABCAPITAL.NS,13.411110054482721,,7.627104480934119,24.653239587730337,22.781635,771760128000.0,Financial Services,39.25075387065217,1,0.4026813562881407,,0.03560560099066013,0.38090107455897076,1,0.3023254619468354
TATACONSUM,TATACONSUM.NS,6.336513470023182,8.311188453399074,0.4949617349920291,10.961485146171789,83.34821,1109028896768.0,Fast Moving Consumer Goods,53.197095983333334,0,0.20626329022574116,0.17656801273675365,0.9563869173484079,0.2621052812109314,0,0.3019000840963582
CENTRALBK,CENTRALBK.NS,7.106508773455048,,11.997036912552442,54.95796961649857,7.6810703,337888837632.0,Financial Services,39.25075387065217,1,0.22764132734370804,,0.0,0.643838484175256,1,0.29706009503816366
AXISBANK,AXISBANK.NS,12.976849870702473,,7.81970054711056,25.718649134392457,13.194009,3663337095168.0,Financial Services,39.25075387065217,1,0.3906246199855527,,0.010740863189363955,0.39014504492643043,1,0.29682752445935645
VENTIVE,VENTIVE.NS,0.4010642996394349,8.231371657460803,0.6666167158216846,,137.13733,165580996608.0,Consumer Services,215.50412475,1,0.04147234655280062,0.17378612868184345,0.9342257373443169,,1,0.29602209673794855
NYKAA,NYKAA.NS,2.9690461895281923,12.660033866377592,1.963914915168397,17.17388261778452,887.6553,736277823488.0,Consumer Services,215.50412475,0,0.11276942059419615,0.32813991648732055,0.7667405949048107,0.3160068238790878,0,0.2940782593116281
INOXWIND,INOXWIND.NS,-12.024507154202471,9.182963423606767,0.5688765728378417,,43.51077,244390117376.0,Capital Goods,60.8815871171875,1,0.0,0.20695230542329765,0.946844287017746,,1,0.29376471940848636
FEDERALBNK,FEDERALBNK.NS,12.107399394118918,,9.15854330743675,28.28748660759457,12.407226,498017697792.0,Financial Services,39.25075387065217,1,0.36648532396933753,,0.0,0.4124334292904492,1,0.29243228304889113
AUBANK,AUBANK.NS,13.132913983477556,,8.195099379034424,23.067346820688115,26.237185,572084649984.0,Financial Services,39.25075387065217,1,0.39495756121365916,,0.0,0.3671411586745713,1,0.291915500099012
ASTERDM,ASTERDM.NS,6.2019025201720765,13.249454494796312,0.809248380780238,-16.46296593435145,110.00787,361022849024.0,Healthcare,58.63961940816326,0,0.20252597147902188,0.34868320976986844,0.9158115556750623,0.024158461674310985,0,0.29013201957229523
JSWSTEEL,JSWSTEEL.NS,12.917632290331845,9.622933470504652,1.9478852888595009,-44.651027551942825,57.896862,2793853681664.0,Metals & Mining,30.47386776875,0,0.3889805117350775,0.2222867427897123,0.768810068405159,0.0,0,0.28758734947872516
BANKINDIA,BANKINDIA.NS,8.438309217846296,,12.060452002717089,39.82765306437381,5.9899235,568354537472.0,Financial Services,39.25075387065217,1,0.2646172403226892,,0.0,0.5125610817000164,1,0.28189738843681
CUB,CUB.NS,12.018357857155163,,7.199678222966489,13.912484197682652,13.725352,158873452544.0,Financial Services,39.25075387065217,1,0.3640131877449113,,0.09078763063823335,0.28770947057832696,1,0.2803639950348738
GMRAIRPORT,GMRAIRPORT.NS,8.367957227698248,8.32786220321176,-28.256381301640186,,,924860678144.0,Services,46.5328134,0,0.2626639979457493,0.1771491490526657,0.9999999998708969,,0,0.27308648662752577
IREDA,IREDA.NS,14.44150674913157,5.332457662662525,6.766487054061057,38.91621490088548,,417591558144.0,Financial Services,39.25075387065217,0,0.4312891395905263,0.07274921628909052,0.14671392781817125,0.5046530360086162,0,0.2705117423238794
GRASIM,GRASIM.NS,4.501400587008996,3.9334972334072287,2.1717047340194076,-19.235403693781137,46.019547,1885156147200.0,Construction Materials,53.96048288888889,1,0.15531348422837526,0.023990735497586034,0.7399142974311336,0.00010355004517576219,1,0.2635995837666143
TATASTEEL,TATASTEEL.NS,10.390911004920898,9.51002351553476,2.0584159562522344,-55.99983866003788,47.36639,2144409616384.0,Metals & Mining,30.47386776875,0,0.3188289910887547,0.2183514507289499,0.7545402231363318,0.0,0,0.26341759347931365
CHOLAHLDNG,CHOLAHLDNG.NS,7.204796424873832,2.895469228713852,7.334825034908414,28.556908836583062,15.771228,347707506688.0,Financial Services,39.25075387065217,1,0.230370171339124,0.0,0.07333976625382509,0.4147710572091282,1,0.2630662277816366
IOB,IOB.NS,9.056910229977106,,11.245329541177883,25.70835157354663,19.270935,753698275328.0,Financial Services,39.25075387065217,1,0.281791988453753,,0.0,0.39005569867679885,1,0.26254873627148567
UCOBANK,UCOBANK.NS,6.306943001008147,,10.732629486506118,38.45948292862778,14.951456,386218393600.0,Financial Services,39.25075387065217,1,0.20544230004387695,,0.0,0.5006902248712005,1,0.2617707349874032
IRFC,IRFC.NS,13.567348384062768,3.2317082983698593,8.281462600049176,2.206956465108334,24.324854,1624670994432.0,Financial Services,39.25075387065217,1,0.40701913444616933,0.0,0.0,0.18614706968338715,1,0.2593351542705282
