date,regime,total,sleeve_ret
2025-01-01,sideways,1103353.172315072,0.047473351839366545
2025-02-01,sideways,1193916.2782153995,0.015600449885963291
2025-03-01,strong_uptrend,1316025.1453839866,0.07468415217879579
2025-04-01,strong_uptrend,1482471.086895776,0.13703659513513503
2025-05-01,strong_uptrend,1577450.7637787596,0.01577791301559612
2025-06-01,strong_uptrend,1688761.3840672853,0.03504525698490497
2025-07-01,strong_uptrend,1905717.2182096562,0.152741750166636
2025-08-01,strong_uptrend,2070879.4356547846,0.07741769814477793
2025-09-01,strong_uptrend,2157034.491922281,0.002376511629895159
2025-10-01,strong_uptrend,2342048.7345659654,0.0820874473863349
2025-11-01,sideways,2429455.5796340406,0.0029906598885593924
2025-12-01,sideways,2487568.217166531,-0.018172385485748094
2026-01-01,sideways,2605947.4325270243,0.025315868123003474
2026-02-01,correction,2551730.102906569,-0.09261466076807294
2026-03-01,correction,2505111.8709824868,-0.09193957506112474
2026-04-01,correction,2564260.720354774,-0.01792377121930034
2026-05-01,severe_bear,2558320.3466086583,-0.06581127488758609
2026-06-01,correction,2689878.885513995,0.03617686430467514
2026-07-01,severe_bear,2702821.5899457606,-0.049828293405140466
2026-08-01,severe_bear,2679838.109105468,-0.07739607475475228
2026-09-01,severe_bear,2904013.409067867,0.108443931063434
2026-10-01,severe_bear,2960089.041035408,-0.018530118436580048
2026-11-01,severe_bear,3071294.9349739784,0.01889491626604127
2026-12-01,severe_bear,3027848.2536166394,-0.0826247796150625
2027-01-01,severe_bear,2887420.8596351566,-0.15549463709652434
2027-02-01,severe_bear,2993697.2243037745,0.018403550304258002
2027-03-01,severe_bear,2979082.0049703503,-0.07528683486096115
2027-04-01,severe_bear,3101135.2334162183,0.03136597856258082
2027-05-01,severe_bear,3146148.2783725597,-0.029373799312997734
2027-06-01,severe_bear,3219649.1553348796,-0.0075771123475151135
2027-07-01,severe_bear,3265766.4000941385,-0.028210710294685633
2027-08-01,severe_bear,3533881.718958827,0.1406896924696452
2027-09-01,severe_bear,3613869.500229867,-0.002187233326789195
2027-10-01,severe_bear,3597868.370862006,-0.0637726252873722
2027-11-01,severe_bear,3752887.9440694936,0.0481212894619437
2027-12-01,severe_bear,3718665.233147821,-0.0738053901898639
2028-01-01,severe_bear,3818809.4228275344,0.011157944427220148
2028-02-01,severe_bear,3745586.2347163158,-0.10069004212171102
2028-03-01,severe_bear,3742443.8705791486,-0.06048612045400728
2028-04-01,severe_bear,3841041.067676617,0.011104211214652646
2028-05-01,severe_bear,3982624.1050651153,0.04098443906868234
2028-06-01,severe_bear,4096170.022231344,0.01999625243526227
2028-07-01,severe_bear,4167770.556825492,-0.007461127386104144
2028-08-01,severe_bear,4240377.463244741,-0.006736903557802218
2028-09-01,severe_bear,4191968.8803962404,-0.08168208921353266
2028-10-01,severe_bear,4194612.234565836,-0.05334809365365483
2028-11-01,severe_bear,4267464.0700203525,-0.00716327424428663
2028-12-01,severe_bear,4479006.866598858,0.08638611030409016
2029-01-01,severe_bear,4594375.639741947,0.019489210469263822
2029-02-01,severe_bear,4499035.794635854,-0.10465942492112389
2029-03-01,severe_bear,4624960.490733657,0.02730369207093675
2029-04-01,severe_bear,4684176.823794982,-0.014760368925108739
2029-05-01,severe_bear,4719866.788168887,-0.02902987729162921
2029-06-01,severe_bear,4903625.630879337,0.061802622718115575
2029-07-01,severe_bear,5101307.576044865,0.06509049907481655
2029-08-01,severe_bear,5285272.000388811,0.05289383470158738
2029-09-01,severe_bear,5248269.901532664,-0.059146243673503573
2029-10-01,severe_bear,5291013.964264358,-0.020862042950492064
2029-11-01,severe_bear,5421875.662564404,0.024544536155475867
2029-12-01,severe_bear,5669415.470085602,0.08147828626251942
2030-01-01,severe_bear,5066966.33174204,-0.3101761129903617
2030-02-01,severe_bear,5144226.4920233395,-0.003901659083440041
2030-03-01,severe_bear,5130203.641177539,-0.061544327401089206
2030-04-01,severe_bear,5130329.919896606,-0.05488846471035941
2030-05-01,severe_bear,5329359.401423065,0.0790208736023881
2030-06-01,severe_bear,5543307.125595784,0.08106571398504615
2030-07-01,severe_bear,5619166.294496626,-0.004215001720002253
2030-08-01,severe_bear,5838460.751292287,0.07565358264421217
2030-09-01,severe_bear,5987638.837505988,0.03351707639912116
2030-10-01,severe_bear,6039550.762320781,-0.015240112018947115
2030-11-01,severe_bear,6189937.919105276,0.03252301818376448
2030-12-01,severe_bear,6475657.588634219,0.09368927308008754
2031-01-01,severe_bear,6579954.9001347,0.008756985960326001
2031-02-01,severe_bear,6932301.015231097,0.10996565515466944
2031-03-01,severe_bear,6620158.173282117,-0.14397988443341103
2031-04-01,severe_bear,6844990.782545589,0.05938689057358641
2031-05-01,severe_bear,6981708.803876191,0.02088957099018181
2031-06-01,severe_bear,7061748.340003863,-0.0012474851234953194
2031-07-01,severe_bear,7209997.803907698,0.024327236502505407
2031-08-01,severe_bear,6995380.111846669,-0.10776703600015715
2031-09-01,severe_bear,7054102.272556634,-0.009851494073419259
2031-10-01,severe_bear,7207309.936789434,0.027893891155038007
2031-11-01,severe_bear,7566227.781919667,0.10573873234957452
2031-12-01,severe_bear,7549736.56664099,-0.0342655698062912
2032-01-01,severe_bear,7519780.362167262,-0.03982288308486224
2032-02-01,severe_bear,7522881.078622404,-0.0290388107383458
2032-03-01,severe_bear,7769635.273671403,0.06021157529147262
2032-04-01,severe_bear,7962081.36232033,0.03750958520565405
2032-05-01,severe_bear,7969560.995320232,-0.024874621545823296
2032-06-01,severe_bear,8161856.371036195,0.036260411468362855
